01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
gprimeltetmo,gprimeltetmo samsung qcom SM-G530T lineage_gprimelte,Samsung SM-G530T
gprimeltexx,samsung qcom gprimeltexx rr_gprimeltexx SM-G530FZ,Samsung SM-G530FZ
gprimeltezt,samsung qcom lineage_gprimeltezt SM-G530MU gprimeltezt,Samsung SM-G530MU
GRA-L09,hi3635 hwgra HUAWEI HUAWEI GRA-L09 GRA-L09,HUAWEI hwgra
gracelte,SM-G935F samsung samsungexynos8890 graceltexx gracelte,Samsung SM-G935F
graceqltechn,samsung SM-N935S qcom graceqltechn graceqltezc,Samsung graceqltezc
gracerlte,samsung gracerltexx samsungexynos8890 SM-N935F gracerlte,Samsung SM-N935F
gracerltelgt,gracerltelgt SM-G610M samsung samsungexynos7870,Samsung SM-G610M
gracerlteskt,samsung SM-N935S samsungexynos8890 gracerlteskt,Samsung SM-N935S
grandmax3g,samsung qcom grandmax3g SM-G7202 grandmax3gdd,Samsung SM-G7202
grandneove3g,samsung GT-I9060M grandneove3gub grandneove3g sc8830,Samsung GT-I9060M
grandpplte,SM-G532M samsung mt6735 grandpplte grandpplteub,Samsung SM-G532M
grandppltedtv,samsung mt6735 grandppltedtvvj SM-G532MT grandppltedtv,Samsung SM-G532MT
grandprimelte,lineage_gprimeltexx grandprimelte samsung qcom SM-G530FZ,Samsung gprimeltexx
grandprimelteaio,grandprimeltetu samsung qcom grandprimelteaio SAMSUNG-SM-G530AZ,SAMSUNG-SM-G530AZ
grandprimeve3g,samsung grandprimeve3g SM-G531H sc8830 lineage_grandprimeve3g,Samsung SM-G531H
grandprimeve3gdtv,samsung grandprimeve3gdtvvj sc8830 SM-G531BT grandprimeve3gdtv,Samsung SM-G531BT
grandprimevelte,samsung pxa1908 grandprimevelte SM-G531F grandprimeveltexx,Samsung SM-G531F
grandprimevelteltn,samsung SM-G531M pxa1908 grandprimeveltevj grandprimevelteltn,Samsung SM-G531M
