01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
metal,Ulefone full_metal mt6735 metal Metal,Ulefone Metal
metis,Z740G qcom metis ZTE P823A01_AIO,ZTE Z740G
mf0300_6dq,Freescale freescale MF0300-MX6DQ mf0300_6dq,Freescale MF0300-MX6DQ
MF0MCB3B1-1,mt6580 Polaroid Turbo C5 MF0MCB3B1-1,Polaroid Turbo C5
mfld_pr2,Grand X In mfld_pr2 ZTE,ZTE Grand X In
MFLogin3,Foxda MegaFon MFLogin3 MegaFon Login 3 mt6572,Foxda MegaFon Login 3
MFLogin3T,Foxda MegaFon qcom MFLogin3T,Foxda MFLogin3T
mh,mh_global_com LG-M700 LGE mh lge,LGE LG-M700
mhn,mhn LG-M700 mhn_global_com LGE lge mh,LGE LG-M700
Mi-498_sprout,Mi-498 sprout Spice Spice Mi-498 Mi-498_sprout google,Spice Mi-498
mi350,mi350 FIH qcom CSL-MI350 MI350 CSL,FIH CSL-MI350
MIATA_lte,qcom MIATA_lte 6036A TCL,TCL 6036A
Mibox3,Xiaomi intel Mibox3,Xiaomi Mibox3
mickey6,mt6735 mickey6 TCL 5046Y,TCL 5046Y
Mickey6TFEVDO,qcom A577VL Mickey6TFEVDO AlcatelOneTouch TCL,AlcatelOneTouch A577VL
Mickey6TTMO,mt6755 AlcatelOneTouch 5049Z TCL Mickey6TTMO,AlcatelOneTouch 5049Z
Micromax A102,ZTE Kis II Max Plus Micromax A102 ZTE mt6572,ZTE Kis II Max Plus
Micromax A104,Micromax mt6582 Micromax A104,Micromax A104
Micromax,Micromax Micromax Smart TV full_Micromax mt5861,Micromax Smart TV
mid1023_ma,mt8163 Insignia mid1023_ma NS-P10A8100,Insignia NS-P10A8100
MID7065,amlogic MID7065 COBY,COBY MID7065
MID786,MID786 rk30board,MID786
MID908KB,amlogic Anydata PLT7777 MID908KB PROSCAN,Anydata PLT7777
Midi,mt6580 Midi Tele2 Tele2 Midi,Tele2 Midi
mido,lineage_mido Xiaomi mido qcom Redmi Note 4,Xiaomi Redmi Note 4
MIDQ88,MIDQ88 Softwinners Generic CookedRom sun5i A13MIDQ88,Generic CookedRom
MID_787,mt6580 MID-787 MID_787 CQ,CQ MID-787
milletlte,samsung milletlte qcom milletltexx SM-T335,Samsung SM-T335
milletlteatt,samsung qcom SAMSUNG-SM-T337A milletlteuc milletlteatt,SAMSUNG-SM-T337A
milletltetmo,samsung qcom milletltetmo SM-T337T,Samsung SM-T337T
milletwifi,samsung SM-T330 qcom du_milletwifi milletwifi,Samsung SM-T330
mimir,Z832 qcom ZTE mimir,ZTE Z832
mimmi,U20i Sony Ericsson LT30p_1269-0608 delta mimmi SEMC,Sony Ericsson U20i
mini_phone,Neptune qcom Neptune Pine mini_phone,Neptune Pine
minnie_cheets,minnie_cheets minnie ASUS Chromebook Flip C100PA google cheets,Google ASUS Chromebook Flip C100PA
mint,mint samsung GT-S5282 mintxx sp8810,Samsung GT-S5282
mione_plus,mione_plus Xiaomi MI-ONE Plus mione,Xiaomi MI-ONE Plus
mirachj,mirachj EIS01PT qcom PANTECH KDDI,PANTECH EIS01PT
Mirror3,qcom OPPO 3001 Mirror3,OPPO 3001
missionimpossible,amlogic xiaomi missionimpossible Xiaomi MiTV4,Xiaomi MiTV4
MIX,DOOGEE mt6757 MIX,DOOGEE MIX
MIX_2,MIX_2 MIX 2 mt6757 vernee,Vernee MIX 2
MJ-M3000,Mijue MJ-M3000 mt6572,Mijue MJ-M3000
MK16i,Sony Ericsson MK16i semc SEMC MK16i_1249-9676,Sony Ericsson MK16i
mk6m,mk6m_global_com mk6m LGE LG-K240 lge,LGE LG-K240
mk6p,mk6p_global_com LG-K220 LGE mk6p lge,LGE LG-K220
mk6p55,mk6p55_spr_us LGLS755 mk6p55 LGE lge,LGE LGLS755
mk6pn,mk6pn LG-K220 mk6pn_global_com_nr LGE lge mk6p,LGE LG-K220
MK802IIIS,MK802IIIS rk30board rockchip Rikomagic MK802IIIS,Rockchip Rikomagic MK802IIIS
ML150,Ixion DEXP Ixion ML150 mt6735 ML150,DEXP Ixion ML150
ML350,DEXP mt6735 Ixion ML350 ML350,DEXP Ixion ML350
ML47,ML47 Dexp rr_ML47 mt6582 Dexp IXION ML47 Mediatek,Mediatek Dexp IXION ML47
MLA-TL10,MLA-TL10 Huawei intel,Huawei MLA-TL10
MLTE5,gzosp_MLTE5 qcom MLTE5 DEXP,DEXP MLTE5
mlv1,LG Electronics mt6735 mlv1 lge mlv1_global_com LG-X230,LG Electronics LG-X230
mlv3,LG Electronics mlv3_global_com mt6735 lge LG-X240 mlv3,LG Electronics LG-X240
mlv5,LGE mlv5_global_com lge LG-M250 mlv5,LGE LG-M250
mlv7,mlv7 mlv7_global_com LG-M320 LGE lge,LGE LG-M320
mm1v,mm1v LGE LG-K350 lge mm1v_global_com_nr,LGE LG-K350
mm1vn,mm1vn_global_com mm1v LGE LG-K350 mm1vn lge,LGE LG-K350
mme0,LG-K100 mme0_global_com mme0 LGE lge,LGE LG-K100
mme0n,mme0n mme0n_global_com LG-K100 mme0 LGE lge,LGE LG-K100
mobee_msm8939_64,mobee_msm8939_64 qcom LYF LS-5015,LYF LS-5015
Mobistel,Cynus F6 Mobistel mt6582,Mobistel Cynus F6
mocha,Xiaomi MI PAD rr_mocha mocha tn8,Xiaomi MI PAD
mojo,Google ADT-1 mojo google,Google ADT-1
molly,Google ADT-1 molly google,Google ADT-1
mondrianlte,samsung mondrianlte qcom lineage_mondrianlte SM-T325,Samsung SM-T325
mondrianwifi,samsung qcom lineage_mondrianwifi mondrianwifi SM-T320,Samsung SM-T320
mondrianwifiue,samsung qcom mondrianwifiue SM-T320,Samsung SM-T320
montana,Moto G (5S) qcom motorola montana,Motorola Moto G (5S)
montana_n,Moto G (5S) montana_n qcom motorola,Motorola Moto G (5S)
montoya,AFTM montoya Amazon,Amazon AFTM
morrison,MB200 motorola Motorola morrison,Motorola MB200
MOS1,MOS1 qcom ramos onemos,Ramos MOS1
mowgli,iNavi THINKWARE SYSTEM CORPORATION M300 aosp_mowgli mowgli,THINKWARE SYSTEM CORPORATION M300
mp1s3gds,LG-H540 mp1s3gds_global_com LGE lge mp1s3gds,LGE LG-H540
mp1s3gss,LG-H542 LGE lge mp1s3gss_global_com mp1s3gss,LGE LG-H542
MPDCG76,MPDCG76 mt8312c roco,Roco MPDCG76
mproject3g,samsung qcom SM-G530H mproject3gzs mproject3g,Samsung SM-G530H
mprojectlteatt,samsung mprojectlteatt smdk4x12 SAMSUNG-SM-C105A mprojectlteub,SAMSUNG-SM-C105A
mr100,mt8382 alps mr100 T12 3G,Alps T12 3G
ms013g,ms013g samsung lineage_ms013g qcom SM-G7102,Samsung SM-G7102
ms013gdtv,samsung qcom ms013gdtv ms013gdtvvj SM-G7102T,Samsung SM-G7102T
ms013gss,samsung qcom SM-G710 ms013gss ms013gssxx,Samsung SM-G710
ms01lte,samsung ms01ltezm qcom ms01lte SM-G7108V,Samsung SM-G7108V
MS1,M1_00WW mt6735 SHARP FS8001 MS1,SHARP FS8001
ms345,qcom LGMS345 aosp_ms345 LGE ms345 lge,LGE LGMS345
msf3,msf3 LG-M400 msf3_global_com LGE lge,LGE LG-M400
msm7225,null U8500 msm7225 Huawei UM840 HUAWEI,HUAWEI UM840
msm8226,P898S10 qcom ZTE ZTE STAR msm8226,ZTE STAR
msm8625,Baidu qcom msm8625 Nokia_xl,Baidu Nokia_xl
msm8625_d9,msm8625_d9 qcom Boost,Boost
msm8625_fw8937,QS1023H qcom fw8955 msm8625_fw8937 3Q,3Q QS1023H
msm8909,Z899VL qcom ZTE msm8909,ZTE Z899VL
msm8909go,msm8909go qcom ZTE N9137,ZTE N9137
msm8909_512,V407 Micromax qcom msm8909_512 gl24a71_om,Micromax V407
msm8916_32,msm8916_32 qcom ZTE Blade V220 ZTE P816A30_SP,ZTE Blade V220
msm8916_64,msm8916_64 MSM8916 for arm64 qcom unknown Android,Unknown MSM8916 for arm64
msm8937_64,qcom Elite Max msm8937_64 unknown Android,Unknown Elite Max
msm8960,vivo X510t BBK vivo msm8960 Android,BBK vivo X510t
msm8974,ZTE Grand S II LTE qcom P897A20 ZTE msm8974,ZTE Grand S II LTE
msm8996,qcom ZTE A2017 P996A03_O ZTE msm8996,ZTE A2017
msm8x25q_d5,qcom DNS S4507 DNS msm8x25q_d5,DNS S4507
msm8x25_x525B,qcom msm8x25_x525B unknown INO_ONE_PLUS,Unknown INO_ONE_PLUS
mstarcedric3,Full AOSP on MStar Cedric3 full_mstarcedric3 cedric mstarcedric3 Mstar MStar Semiconductor  Inc.,MStar Semiconductor  Inc. Full AOSP on MStar Cedric3
mstareaglenand,60861 full_mstareaglenand eagle mstareaglenand MStar Semiconductor  Inc. VDT_CP19362,MStar Semiconductor  Inc. 60861
MT11i,MT11i Sony Ericsson MT11i_1256-3856 semc SEMC,Sony Ericsson MT11i
MT15i,MT15i_1247-0877 Sony Ericsson MT15i semc SEMC,Sony Ericsson MT15i
mt2,huawei qcom MT2L03 mt2 Huawei Ascend Mate 2,Huawei Ascend Mate 2
MT25i,MT25i_1265-3583 Sony Ericsson MT25i semc SEMC,Sony Ericsson MT25i
MT27i,Sony MT27i_1262-1440 MT27i st-ericsson SEMC,Sony MT27i
mt5882,MTK Generic Android on mt5882 mtk_mt5882 mt5882 Android,MTK Generic Android on mt5882
mt6582,cm_mt6582 mt6582 MT6582 MediaTek Mediatek,MediaTek MT6582
MT6582_M81_TFT_BAND18_QHD,Land Rover X tft mt6582 MT6582_M81_TFT_BAND18_QHD,Tft Land Rover X
mt6592,mt6592 cm_mt6592 GM Discovery2 MediaTek,MediaTek GM Discovery2
mt799,NABI2-NV7A nabi2 mt799 FUHU INC. nabi,FUHU INC. NABI2-NV7A
mt8010,amlogic mt8010 MID PTAB8000 Keenhi,Keenhi PTAB8000
MTK6572,Prestigio mt6572 PAP5451DUO MTK6572,Prestigio PAP5451DUO
muscat,lge_muscat LGE muscat LG-C660h,LGE LG-C660h
MW0712,AOC MW0712 AOC Breeze rk2928board TABLET,AOC TABLET
mx2,amlogic G-Box MX2 MX2 G-Box Matricom Matricom G-Box Midnight MX2,Matricom G-Box Midnight MX2
mx3,Meizu meizu_mx3 M351 mx3,Meizu M351
mx4,Meizu MX4 cm_mx4 mx4 mt6595,Meizu MX4
mx4pro,Meizu MX4 Pro mx4pro m76 meizu_mx4pro,Meizu MX4 Pro
mx5,Meizu meizu_mx5 mt6795 MX5 mx5,Meizu MX5
MX6,Meizu MX6 mt6797,Meizu MX6
MXIII,amlogic MBX k200 MXIII,MBX MXIII
MXQPRO_II,amlogic MXQPRO-II Amlogic MXQPRO_II,Amlogic MXQPRO-II
mxq_1,mxq_1 amlogic MBX MXQ,MBX MXQ
my50,my50 LG-H320 LGE lge my50_global_com,LGE LG-H320
my50ds,my50ds my50ds_global_sca LGE lge LG-H326,LGE LG-H326
my70,LG-H420 my70_global_com my70 LGE lge,LGE LG-H420
my70ds,LG-H422 my70ds LGE lge my70ds_global_com,LGE LG-H422
my90,my90 LG-H500 LGE lge my90_global_com_nr,LGE LG-H500
my90ds,my90ds my90ds_global_com LGE lge LG-H502,LGE LG-H502
MyPhone_Agua_Rio,MyPhone alps MyPhone Agua Rio MyPhone_Agua_Rio mt6582,Alps MyPhone Agua Rio
myPhone_AXE_LTE_PL_OPM,AXE_LTE_PL_OPM myPhone_AXE_LTE myPhone_AXE_LTE_PL_OPM mt6752 myPhone,MyPhone_AXE_LTE
MyWigo Turia 2,MyWigo Turia 2 MYWIGO TURIA 2 mt6572,MYWIGO TURIA 2
mz706,mt8382 alps mz706 SM4T8H3G,Alps SM4T8H3G
mz900,mt8382 alps mz900 BTPC-1015QC-3G,Alps BTPC-1015QC-3G
N-04E,N-04E qcom DOCOMO NEC,NEC N-04E
n1awifi,SM-P600 samsung universal5420 n1awifi unknown,Unknown SM-P600
n200,amlogic Netxeon n200 Tronsmart MXIII Plus,Netxeon MXIII Plus
n200C,amlogic n200C S8S Android,Amlogic S8S
N280,sp7731g_1h10 DEXP N280,DEXP N280
n2awifi,samsung SM-T520 universal5420 n2awifi unknown,Unknown SM-T520
N3,qcom OPPO N5206 N3,OPPO N5206
n320bh,C55 n320bh mt6735 SISWOO,SISWOO C55
N503,mt6735 NOBLEX N503,NOBLEX N503
N720,N720 N720_Vene_Movilnet zte,Zte N720
n9,nokia Nokia N9 nokiarm-696board n9 unknown,Unknown Nokia N9
N918St,BGH qcom N918St BGH Joy Smart AXS II,BGH Joy Smart AXS II
N919D,N919D MSM8974AB ZTE,ZTE N919D
N939St,ZTE Blade X9 qcom N939St xenonhd_N939St ZTE,ZTE Blade X9
NA,NA qcom,NA
namath,namath mt6735 Moto C motorola namath_56,Motorola Moto C
nancy,Z963VL qcom zte nancy,Zte Z963VL
nanhu,Sony Xperia E C1604_1270-7235 sony nanhu,Sony Xperia E
nappa,qcom nappa Aquaris V bq,Bq Aquaris V
nash,qcom motorola Moto Z (2) nash nash_sprint,Motorola Moto Z (2)
natrium,Xiaomi qcom MI 5s Plus natrium,Xiaomi MI 5s Plus
NB1,TA-1012_00WW qcom HMD Global TA-1012 NB1 Nokia,HMD Global TA-1012
nbx02,Sony nbx02_012 Sony Tablet P nbx02,Sony Tablet P
nbx03,Sony SYS_002 Sony Tablet S nbx03,Sony Tablet S
ND1,qcom TA-1024_00WW HMD Global TA-1024 ND1 Nokia,HMD Global TA-1024
NE1,HMD Global TA-1032_00WW mt6735 TA-1032 NE1 Nokia,HMD Global TA-1032
needle,amlogic AFTN Amazon needle,Amazon AFTN
NEO-U1,amlogic p200_2G NEO-U1 MINIX,MINIX p200_2G
NEO-U9-H,amlogic q200 MINIX NEO-U9-H,MINIX NEO-U9-H
NEO-X8H-PLUS,amlogic NEO-X8H-PLUS n200 MINIX,MINIX NEO-X8H-PLUS
neo,mt6580 neo Jinga Jinga Basco Neo,Jinga Basco Neo
NETWORK,NETWORK mt6580 roco,Roco NETWORK
nevis,samsung rhea_ss_nevis nevis GT-S6810B nevisvj,Samsung GT-S6810B
nevisp,samsung rhea_ss_nevisp GT-S6810P nevisp,Samsung GT-S6810P
nevisvess,samsung rhea_ss_nevisvess GT-S6790 nevisvessxx nevisvess,Samsung GT-S6790
NEWMAN,iDxD4 NEWMAN Digma mt6577,Digma iDxD4
NEXBOX_A1,amlogic M9S PRO NEXBOX_A1 Amlogic,Amlogic M9S PRO
NEXBOX_A3,amlogic NEXBOX-A3 NEXBOX_A3 Amlogic,Amlogic NEXBOX-A3
nexbox_a5,nexbox_a5 amlogic NEXBOX-A5 Amlogic,Amlogic NEXBOX-A5
nexbox_a95,amlogic nexbox_a95 NEXBOX-A95 Android,Amlogic NEXBOX-A95
nexbox_a95x,amlogic NEXBOX-A95X nexbox_a95x Amlogic,Amlogic NEXBOX-A95X
Next8P12,YIFANG amlogic MID Next8P12,YIFANG Next8P12
Next_Lite,CloudFone qcom Next_Lite Next Lite,CloudFone Next Lite
Nexus 5,mt6580 LANIX Nexus 5,LANIX Nexus 5
NEXUS 6P,NEXUS 6P my70 Samsung Samsung Note8 my70_global_com_nr,Samsung Note8
Nexus5,alps M4 SS4350 Nexus5 mt6582,Alps M4 SS4350
nicki,Sony qcom lineage_nicki nicki,Sony nicki
nicklaus_f,nicklaus_f mt6735 motorola Moto E (4) Plus,Motorola Moto E (4) Plus
nicklaus_fn,mt6735 nicklaus_fn motorola Moto E (4) Plus,Motorola Moto E (4) Plus
nikel,Xiaomi nikel mt6797 Redmi Note 4,Xiaomi Redmi Note 4
NIM-550O,NIM-550O JPX mt6592 NEUlMAGE,JPX NIM-550O
Nimbus1,Fly Nimbus1 FS451 sc8830,Fly FS451
Nimbus3,Fly Nimbus3 sc8830 FS501,Fly FS501
Nimbus_12,Fly mt6580 FS510 Nimbus_12,Fly FS510
Nimbus_7,Nimbus_7 Fly sp7731c_1h10_32v4 FS505,Fly FS505
Nimbus_8,Nimbus_8 Fly mt6580 FS454,Fly FS454
NKS_AQT80,ANS_NKS qcom AQT80 NKS_AQT80,ANS_NKS AQT80
noblelte,samsung noblelte nobleltextc SM-N9208 samsungexynos7420,Samsung SM-N9208
noblelteacg,samsung noblelteacg SM-N920R7 samsungexynos7420,Samsung SM-N920R7
noblelteatt,noblelteuc samsung SAMSUNG-SM-N920A noblelteatt samsungexynos7420,SAMSUNG-SM-N920A
nobleltebmc,samsung nobleltebmc SM-N920W8 samsungexynos7420,Samsung SM-N920W8
nobleltechn,samsung qcom SM-A710F nobleltechn nobleltezc,Samsung nobleltezc
nobleltehk,nobleltezh samsung SM-N9200 nobleltehk samsungexynos7420,Samsung SM-N9200
nobleltejv,samsung SM-N920C nobleltejv samsungexynos7420,Samsung SM-N920C
noblelteskt,samsung SM-N920S noblelteskt samsungexynos7420,Samsung SM-N920S
nobleltespr,samsung nobleltespr SM-N920P samsungexynos7420,Samsung SM-N920P
nobleltetmo,samsung nobleltetmo SM-N920T samsungexynos7420,Samsung SM-N920T
nobleltevzw,nobleltevzw samsung Verizon SM-N920V samsungexynos7420,Samsung SM-N920V
Nokia_N1,N1 mofd_v1 Nokia_N1 Nokia,Nokia N1
Nomi_C070012,mt6580 Nomi Nomi_C070012,Nomi_C070012
nomu,S30mini mt6735 nomu,Nomu S30mini
normandy,NOKIA qcom normandy Nokia NOKIA X,NOKIA X
Note 8,mt6580 alps Note 8,Note 8
Note_Grace_IV,mt6580 winds Note_Grace_IV,Winds Note_Grace_IV
nougat,samsung sc8830 nougat,Samsung nougat
NOVA02A_S11A,M4TEL NOVA02A_S11A M4 SS4451 alps mt6735,M4TEL M4 SS4451
NOVA02A_S11B,NOVA02A_S11B M4TEL M4 SS4451 alps mt6735,M4TEL M4 SS4451
NOVA03A_S22A,M4TEL M4_SS4455 mt6735 NOVA03A_S22A M4 SS4455,M4TEL M4 SS4455
nozomi,Sony Xperia S nozomi aosp_nozomi semc,Sony Xperia S
NS-P08A7100,NS-P08A7100 Insignia Tianshi Digi-Land sofiaboard,Tianshi Digi-Land NS-P08A7100
NS-P11A8100,mt8163 NS-P11A8100 insignia SHENZHEN GIEC DIGITAL CO. LTD.,SHENZHEN GIEC DIGITAL CO. LTD. NS-P11A8100
NS470,DEXP Ursus sc7730 Ursus NS470 NS470,DEXP Ursus NS470
ns_15at08,bestbuy rk30board Iriver NS-15AT08 ns_15at08,Iriver NS-15AT08
nt72668_hikeen,AndroidTV on nt72667 AndroidTV nt72668_hikeen novatek-cortexa9 unknown,Unknown AndroidTV on nt72667
ntx_6sl,E60QD0 BarnesAndNoble BNRV510 ntx_6sl NOOK,BarnesAndNoble BNRV510
nuclear-evb,nuclear_evb TM-7026 nuclear-evb sun5i unknown Android,Unknown TM-7026
nuclear-f900,GOCLEVER TAB 9300 nuclear_f900 sun5i softwinners unknown nuclear-f900,Unknown GOCLEVER TAB 9300
nuclear-inet,iNet nuclear_inet TAC-70111 sun5i nuclear-inet unknown,Unknown TAC-70111
nuclear-m768,nuclear-m768 sun5i nuclear_m768 softwinners unknown WT-M768,Unknown WT-M768
number 6,wkyx3gub number 6 Hub-6 sc8830 unknown vennons,Unknown wkyx3gub
NUU_A1,mt6580 NUU_A1 NUU,NUU_A1
NX16A10132S,NX16A10132S Yifang NextBook NXM1021CAP_ES,Yifang NX16A10132S
NX16A11264,Yifang NextBook NXM1106CAP NX16A11264,Yifang NX16A11264
NX16A8116K,Yifang NextBook NX16A8116K NXM882CAP_ES,Yifang NX16A8116K
NX404H,NX404H qcom nubia,Nubia NX404H
NX406E,qcom zte NX406E,Zte NX406E
NX40X,NX40X qcom nubia NX402_Z54 NX402,Nubia NX402
NX505J,NX505J Nubia qcom,Nubia NX505J
NX507J,NX505J Nubia NX507J qcom,Nubia NX505J
NX508J,qcom nubia NX508J,Nubia NX508J
NX510J,qcom nubia NX510J,Nubia NX510J
NX511J,qcom NX511J nubia,Nubia NX511J
NX529J,NX529J qcom nubia,Nubia NX529J
NX531J,qcom nubia NX531J,Nubia NX531J
NX549J,NX549J qcom nubia,Nubia NX549J
NX563J,qcom nubia NX563J,Nubia NX563J
NX569H,NX569H qcom nubia,Nubia NX569H
NX569J,qcom NX569J nubia,Nubia NX569J
NX597J,mt6735 ZTE NX597J,ZTE NX597J
NX907J,qcom nubia NX907J,Nubia NX907J
NXA116QC164,Yifang NextBook nxm1106bap_wm NXA116QC164,Yifang NXA116QC164
NXA8QC116,Yifang NextBook NXA8QC116 nxm890bap_wm,Yifang NXA8QC116
nxtl09,HWNXT NXT-L09 hi3650 HUAWEI NXT-L09 HUAWEI,HUAWEI NXT-L09
o5lte,SM-G550FY samsung o5lte universal3475 o5ltedd,Samsung SM-G550FY
o5ltechn,samsung SM-G5500 o5ltechn universal3475 o5ltezc,Samsung SM-G5500
O6,alps O6 mt6572,Alps O6
o7lte,samsung o7ltedd o7lte qcom SM-G600FY,Samsung SM-G600FY
obake-maxx,XT1080 obake-maxx qcom motorola obake-maxx_verizon,Motorola XT1080
obake,XT1080 obake qcom obake_verizon motorola,Motorola XT1080
obakem,qcom motorola XT1030 obakem obakem_verizon,Motorola XT1030
Obreey_SURFPAD,Obreey Obreey1 Obreey SURFpad sun5i Obreey_SURFPAD,Obreey1 Obreey SURFpad
Obreey_SURFPAD2,Obreey rk30board Obreey_SURFPAD2 PocketBook SURFpad2,Obreey PocketBook SURFpad2
obreey_surfpad4_m,Obreey PocketBook SURFpad 4 M mt8392 obreey_surfpad4_m,Obreey PocketBook SURFpad 4 M
Ocean_9,Ocean_9 VGOTEL sp9832a_2h11,Ocean_9
ocn,qcom HTC ocnwhl_00617 HTC U11 ocn,HTC U11
octopus-bt1077,YonesToptech octopus_bt1077 octopus-bt1077 sun8i BT1077 Allwinner,Allwinner BT1077
octopus-ibt,Fusion5 Fusion5_108 (16GB) sun8i Allwinner octopus_ibt octopus-ibt,Allwinner Fusion5_108 (16GB)
octopus-t102,Excelvan M1009B sun8i octopus-t102 octopus_t102 Allwinner,Allwinner M1009B
odin,Sony qcom odin C6503 Xperia ZL,Sony Xperia ZL
odroidc,odroidc HardKernel Co.  Ltd. ODROIDC ODROID,HardKernel Co.  Ltd. ODROIDC
odroidc2,ODROIDC2 HardKernel Co.  Ltd. odroidc2 ODROID,HardKernel Co.  Ltd. ODROIDC2
ODYS_IEOS_QUAD,IEOS_QUAD rk30board ODYS_IEOS_QUAD ODYS,ODYS IEOS_QUAD
oem_allo,sp7731g_1h10 oem_allo Nomi C10103,Oem_allo Nomi C10103
olympus,olyatt MB860 olympus MOTO Motorola,Motorola MB860
omega,Redmi Pro Xiaomi mt6797 omega,Xiaomi Redmi Pro
omega_pro,mt6735 omega_pro Blackview,Blackview omega_pro
on5ltemtr,on5ltemtr samsung SM-G550T1 universal3475,Samsung SM-G550T1
on5ltetfntmo,SM-S550TL samsung universal3475 on5ltetfntmo,Samsung SM-S550TL
on5ltetmo,samsung SM-G550T on5ltetmo universal3475,Samsung SM-G550T
on5xelte,SM-G570F on5xelte samsung samsungexynos7570 on5xeltejv,Samsung SM-G570F
on5xfltechn,samsung on5xfltezc qcom on5xfltechn SM-G5520,Samsung SM-G5520
on5xlltechn,on5xlltezc samsung qcom on5xlltechn SM-G5510,Samsung SM-G5510
on7ltechn,samsung SM-G6000 qcom on7ltechn on7ltezc,Samsung SM-G6000
on7xelte,samsung on7xeltedd SM-G610F on7xelte samsungexynos7870,Samsung SM-G610F
on7xeltelte,SM-G610M samsung on7xelte on7xeltelte samsungexynos7870,Samsung SM-G610M
on7xltechn,samsung SM-G6100 qcom on7xltechn on7xltezc,Samsung SM-G6100
once,Xiaomi once sun50iw1p1 Allwinner MIBOX3,Allwinner MIBOX3
ONDA_MID,V80_PLUS cht_cr_mrd_w ONDA_MID,ONDA_MID V80_PLUS
One Touch 4013D,Alcatel One Touch 4013D mt6572,Alcatel One Touch 4013D
one,mt6580 CAGABI ONE one cm_one,CAGABI ONE
OnePlus,qcom OnePlus ONE E1003,OnePlus ONE E1003
OnePlus2,qcom OnePlus ONE A2001 OnePlus2,OnePlus ONE A2001
oneplus3,qcom OnePlus ONEPLUS A3003 lineage_oneplus3 OnePlus3,ONEPLUS A3003
oneplus3t,OnePlus3T qcom Oneplus OnePlus ONEPLUS A3003,ONEPLUS A3003
OnePlus5,ONEPLUS A5000 qcom OnePlus OnePlus5,ONEPLUS A5000
OnePlus5T,ONEPLUS A5010 qcom OnePlus OnePlus5T,ONEPLUS A5010
OnePlus6,ONEPLUS A6000 qcom OnePlus OnePlus6,ONEPLUS A6000
OneTochc7,7041D Mtk Alkatel cm_7041D OneTochc7 mt6582,Mtk 7041D
one_touch_890D_gsm,ALCATEL one touch 890D TCT mt6516 one_touch_890D_ALRU one_touch_890D_gsm,TCT ALCATEL one touch 890D
one_touch_890_gsm,null TCT one_touch_890_TGMX one_touch_890_gsm ALCATEL_one_touch_890,TCT ALCATEL_one_touch_890
one_touch_910_gsm,one_touch_910_OPVE one_touch_910_gsm TCT ALCATEL_one_touch_910 qcom,TCT ALCATEL_one_touch_910
one_touch_918D_gsm,TCT ALCATEL ONE TOUCH 918D one_touch_918D_gsm one_touch_918D_ALDE mt6573,TCT ALCATEL ONE TOUCH 918D
one_touch_918N_gsm,TCT one_touch_918N_gsm one_touch_918N_IJIN ALCATEL ONE TOUCH 918N mt6573,TCT ALCATEL ONE TOUCH 918N
one_touch_983_gsm,one_touch_983A_TLVE TCT ALCATEL_one_touch_983 bcm21553 one_touch_983_gsm,TCT ALCATEL_one_touch_983
one_touch_985D_gsm,one_touch_985D_ALRU TCT one_touch_985D_gsm ALCATEL ONE TOUCH 985D mt6573,TCT ALCATEL ONE TOUCH 985D
one_touch_990C_cdma,ALCATEL one touch 990C TCT qcom one_touch_990C_cdma one_touch_990C_ITUA,TCT ALCATEL one touch 990C
one_touch_990_gsm,one_touch_990_gsm TCT qcom ALCATEL_one_touch_990 one_touch_990_ALRU,TCT ALCATEL_one_touch_990
onyx,qcom OnePlus onyx ONE E1003,OnePlus ONE E1003
Onyx_Z,Vonino Onyx_Z mt6582,Vonino Onyx_Z
Oplus,Oplus mt6572 O+ 8.31z Android O+_8.31z_Android,Oplus O+_8.31z_Android
oracle,oracle Matsunichi Le Pan S LePanS LePan,Matsunichi Le Pan S
Orient_R37,Orient_R37 mt6572,Orient_R37
Origins_Pro,mt6580 Origins Pro Origins_Pro,Origins Pro
Orsa,Vestel Orsa Venus_V3_5580 mt6753,Vestel Venus_V3_5580
osprey,qcom tesla_osprey osprey Motorola MotoG3,Motorola MotoG3
osprey_cdma,qcom lineage_osprey osprey_cdma Motorola MotoG3,Motorola MotoG3
osprey_u2,qcom lineage_osprey Motorola MotoG3 osprey_u2,Motorola MotoG3
osprey_ud2,osprey_ud2 qcom lineage_osprey Motorola MotoG3,Motorola MotoG3
osprey_uds,osprey_uds qcom aosp_osprey Motorola MotoG3,Motorola MotoG3
osprey_udstv,osprey_udstv qcom aosp_osprey Motorola MotoG3,Motorola MotoG3
osprey_umts,osprey_umts qcom rr_osprey Motorola MotoG3,Motorola rr_osprey
otterx,amazon Amazon OtterX android cm_otterx otterx,Android Amazon OtterX
otus,qcom Moto E otus motorola lineage_otus,Motorola Moto E
otus_ds,qcom Moto E otus_ds motorola aosp_otus,Motorola Moto E
OUKITEL,K6000 Pro K6000_Pro mt6735 OUKITEL,OUKITEL K6000_Pro
oukitel_c5pro,mt6735 oukitel_c5pro Oukitel_c5pro mts lineage_oukitel_c5pro Oukitel,Mts Oukitel_c5pro
ouya,cardhu Boxer8 ouya Ouya,Boxer8 Ouya
ouya_1_1,cardhu ouya_1_1 OUYA OUYA Console,OUYA Console
